Timestamp,Gender,Age ,Sleep_Hours,Naps
10/30/2023 12:44:26,Male/ Hombre,Over 21/major de 21,4,0
10/30/2023 12:44:35,Female/Mujer,Under 21/menor de 21,8,0
10/30/2023 12:44:41,Male/ Hombre,Over 21/major de 21,2,0
10/30/2023 12:44:50,Male/ Hombre,Under 21/menor de 21,5,1
10/30/2023 12:44:50,Female/Mujer,Under 21/menor de 21,6,0
10/30/2023 12:45:02,Female/Mujer,Under 21/menor de 21,8,0
10/30/2023 12:45:47,Female/Mujer,Under 21/menor de 21,8,0
10/30/2023 12:46:00,Male/ Hombre,Over 21/major de 21,8,0
10/30/2023 12:46:19,Male/ Hombre,Under 21/menor de 21,9,1
10/30/2023 12:48:11,Female/Mujer,Under 21/menor de 21,5,0
10/30/2023 12:48:55,Male/ Hombre,Under 21/menor de 21,5,1
10/30/2023 12:49:17,Female/Mujer,Over 21/major de 21,6,1
10/30/2023 12:49:32,Female/Mujer,Under 21/menor de 21,3,0
10/30/2023 12:49:42,Female/Mujer,Over 21/major de 21,6,0
10/30/2023 12:49:58,Male/ Hombre,Over 21/major de 21,7,2
10/30/2023 12:50:07,Female/Mujer,Under 21/menor de 21,7,0
10/30/2023 12:50:52,Male/ Hombre,Under 21/menor de 21,8,0
10/30/2023 12:51:26,Male/ Hombre,Under 21/menor de 21,6,0
10/30/2023 12:51:55,Female/Mujer,Under 21/menor de 21,6,0
10/30/2023 12:52:16,Male/ Hombre,Under 21/menor de 21,8,0
10/30/2023 12:52:27,Male/ Hombre,Under 21/menor de 21,8,0
10/30/2023 12:52:30,Female/Mujer,Under 21/menor de 21,7,2
10/30/2023 12:52:53,Male/ Hombre,Under 21/menor de 21,5,1
10/30/2023 12:52:54,Male/ Hombre,Under 21/menor de 21,7,0
10/30/2023 12:56:20,Female/Mujer,Over 21/major de 21,5,0
10/30/2023 12:57:17,Male/ Hombre,Under 21/menor de 21,7,2
10/30/2023 13:19:59,Female/Mujer,Under 21/menor de 21,8,0
10/30/2023 13:31:38,Male/ Hombre,Over 21/major de 21,7,2
10/30/2023 13:32:34,Male/ Hombre,Under 21/menor de 21,4,0
10/30/2023 13:37:48,Female/Mujer,Under 21/menor de 21,8,0
